Libro,Titulo del libro,Especialidad,Opinión del 1 al 6
Libro 68,Cálculo I.,Eje Transversal,4
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,5
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,3
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,5
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,1
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,3
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 68,Cálculo I.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,4
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,3
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,1
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,4
Libro 69,Física General.,Eje Transversal,5
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,5
Libro 69,Física General.,Eje Transversal,4
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,4
Libro 69,Física General.,Eje Transversal,6
Libro 69,Física General.,Eje Transversal,4
Libro 69,Física General.,Eje Transversal,6
